"Year","Age.group","Value","Sex"
1976,"15 years and over",35300,"Both sexes"
1976,"15 years and over",53600,"Males"
1976,"15 years and over",19400,"Females"
1976,"15 to 24 years",19400,"Both sexes"
1976,"15 to 24 years",23300,"Males"
1976,"15 to 24 years",15000,"Females"
1976,"25 to 54 years",52300,"Both sexes"
1976,"25 to 54 years",69400,"Males"
1976,"25 to 54 years",28400,"Females"
1976,"25 to 34 years",50300,"Both sexes"
1976,"25 to 34 years",65400,"Males"
1976,"25 to 34 years",30600,"Females"
1976,"35 to 44 years",57200,"Both sexes"
1976,"35 to 44 years",76300,"Males"
1976,"35 to 44 years",27500,"Females"
1976,"45 to 54 years",51800,"Both sexes"
1976,"45 to 54 years",70200,"Males"
1976,"45 to 54 years",25400,"Females"
1976,"55 to 64 years",39400,"Both sexes"
1976,"55 to 64 years",56200,"Males"
1976,"55 to 64 years",18400,"Females"
1976,"65 years and over",15700,"Both sexes"
1976,"65 years and over",21100,"Males"
1976,"65 years and over",13700,"Females"
1977,"15 years and over",35500,"Both sexes"
1977,"15 years and over",53300,"Males"
1977,"15 years and over",21100,"Females"
1977,"15 to 24 years",21400,"Both sexes"
1977,"15 to 24 years",24600,"Males"
1977,"15 to 24 years",18100,"Females"
1977,"25 to 54 years",51300,"Both sexes"
1977,"25 to 54 years",68700,"Males"
1977,"25 to 54 years",29300,"Females"
1977,"25 to 34 years",48900,"Both sexes"
1977,"25 to 34 years",63200,"Males"
1977,"25 to 34 years",31200,"Females"
1977,"35 to 44 years",54700,"Both sexes"
1977,"35 to 44 years",74300,"Males"
1977,"35 to 44 years",28400,"Females"
1977,"45 to 54 years",52800,"Both sexes"
1977,"45 to 54 years",71400,"Males"
1977,"45 to 54 years",26700,"Females"
1977,"55 to 64 years",40400,"Both sexes"
1977,"55 to 64 years",59300,"Males"
1977,"55 to 64 years",18700,"Females"
1977,"65 years and over",15800,"Both sexes"
1977,"65 years and over",19500,"Males"
1977,"65 years and over",14000,"Females"
1978,"15 years and over",35900,"Both sexes"
1978,"15 years and over",53400,"Males"
1978,"15 years and over",21600,"Females"
1978,"15 to 24 years",19500,"Both sexes"
1978,"15 to 24 years",23600,"Males"
1978,"15 to 24 years",16500,"Females"
1978,"25 to 54 years",51600,"Both sexes"
1978,"25 to 54 years",68200,"Males"
1978,"25 to 54 years",30600,"Females"
1978,"25 to 34 years",48500,"Both sexes"
1978,"25 to 34 years",62700,"Males"
1978,"25 to 34 years",31400,"Females"
1978,"35 to 44 years",56700,"Both sexes"
1978,"35 to 44 years",74700,"Males"
1978,"35 to 44 years",30100,"Females"
1978,"45 to 54 years",53200,"Both sexes"
1978,"45 to 54 years",71500,"Males"
1978,"45 to 54 years",30100,"Females"
1978,"55 to 64 years",40400,"Both sexes"
1978,"55 to 64 years",57900,"Males"
1978,"55 to 64 years",19300,"Females"
1978,"65 years and over",16900,"Both sexes"
1978,"65 years and over",21500,"Males"
1978,"65 years and over",15200,"Females"
1979,"15 years and over",35600,"Both sexes"
1979,"15 years and over",52400,"Males"
1979,"15 years and over",21300,"Females"
1979,"15 to 24 years",21100,"Both sexes"
1979,"15 to 24 years",24600,"Males"
1979,"15 to 24 years",17500,"Females"
1979,"25 to 54 years",50600,"Both sexes"
1979,"25 to 54 years",67300,"Males"
1979,"25 to 54 years",30100,"Females"
1979,"25 to 34 years",48700,"Both sexes"
1979,"25 to 34 years",62100,"Males"
1979,"25 to 34 years",31800,"Females"
1979,"35 to 44 years",53300,"Both sexes"
1979,"35 to 44 years",72300,"Males"
1979,"35 to 44 years",29800,"Females"
1979,"45 to 54 years",52100,"Both sexes"
1979,"45 to 54 years",70000,"Males"
1979,"45 to 54 years",27400,"Females"
1979,"55 to 64 years",40100,"Both sexes"
1979,"55 to 64 years",58600,"Males"
1979,"55 to 64 years",18000,"Females"
1979,"65 years and over",17200,"Both sexes"
1979,"65 years and over",21700,"Males"
1979,"65 years and over",15700,"Females"
1980,"15 years and over",35500,"Both sexes"
1980,"15 years and over",53600,"Males"
1980,"15 years and over",21800,"Females"
1980,"15 to 24 years",18000,"Both sexes"
1980,"15 to 24 years",21300,"Males"
1980,"15 to 24 years",15100,"Females"
1980,"25 to 54 years",51500,"Both sexes"
1980,"25 to 54 years",68500,"Males"
1980,"25 to 54 years",31600,"Females"
1980,"25 to 34 years",49200,"Both sexes"
1980,"25 to 34 years",62900,"Males"
1980,"25 to 34 years",33300,"Females"
1980,"35 to 44 years",54600,"Both sexes"
1980,"35 to 44 years",74400,"Males"
1980,"35 to 44 years",30600,"Females"
1980,"45 to 54 years",53800,"Both sexes"
1980,"45 to 54 years",70300,"Males"
1980,"45 to 54 years",29500,"Females"
1980,"55 to 64 years",41100,"Both sexes"
1980,"55 to 64 years",62800,"Males"
1980,"55 to 64 years",18200,"Females"
1980,"65 years and over",19300,"Both sexes"
1980,"65 years and over",25200,"Males"
1980,"65 years and over",17000,"Females"
1981,"15 years and over",35300,"Both sexes"
1981,"15 years and over",51400,"Males"
1981,"15 years and over",22400,"Females"
1981,"15 to 24 years",19100,"Both sexes"
1981,"15 to 24 years",22300,"Males"
1981,"15 to 24 years",16600,"Females"
1981,"25 to 54 years",49600,"Both sexes"
1981,"25 to 54 years",65900,"Males"
1981,"25 to 54 years",31200,"Females"
1981,"25 to 34 years",46800,"Both sexes"
1981,"25 to 34 years",61100,"Males"
1981,"25 to 34 years",31800,"Females"
1981,"35 to 44 years",54800,"Both sexes"
1981,"35 to 44 years",72500,"Males"
1981,"35 to 44 years",32900,"Females"
1981,"45 to 54 years",49900,"Both sexes"
1981,"45 to 54 years",68900,"Males"
1981,"45 to 54 years",28300,"Females"
1981,"55 to 64 years",39400,"Both sexes"
1981,"55 to 64 years",57300,"Males"
1981,"55 to 64 years",19100,"Females"
1981,"65 years and over",19800,"Both sexes"
1981,"65 years and over",24700,"Males"
1981,"65 years and over",17400,"Females"
1982,"15 years and over",33600,"Both sexes"
1982,"15 years and over",48200,"Males"
1982,"15 years and over",22200,"Females"
1982,"15 to 24 years",16400,"Both sexes"
1982,"15 to 24 years",18100,"Males"
1982,"15 to 24 years",14700,"Females"
1982,"25 to 54 years",46800,"Both sexes"
1982,"25 to 54 years",63000,"Males"
1982,"25 to 54 years",30600,"Females"
1982,"25 to 34 years",44100,"Both sexes"
1982,"25 to 34 years",56000,"Males"
1982,"25 to 34 years",32000,"Females"
1982,"35 to 44 years",51100,"Both sexes"
1982,"35 to 44 years",70400,"Males"
1982,"35 to 44 years",30400,"Females"
1982,"45 to 54 years",48600,"Both sexes"
1982,"45 to 54 years",68300,"Males"
1982,"45 to 54 years",28000,"Females"
1982,"55 to 64 years",37700,"Both sexes"
1982,"55 to 64 years",56300,"Males"
1982,"55 to 64 years",19300,"Females"
1982,"65 years and over",20500,"Both sexes"
1982,"65 years and over",26900,"Males"
1982,"65 years and over",18000,"Females"
1983,"15 years and over",31800,"Both sexes"
1983,"15 years and over",46800,"Males"
1983,"15 years and over",21000,"Females"
1983,"15 to 24 years",13900,"Both sexes"
1983,"15 to 24 years",16400,"Males"
1983,"15 to 24 years",11900,"Females"
1983,"25 to 54 years",46700,"Both sexes"
1983,"25 to 54 years",61500,"Males"
1983,"25 to 54 years",30300,"Females"
1983,"25 to 34 years",43000,"Both sexes"
1983,"25 to 34 years",53700,"Males"
1983,"25 to 34 years",31400,"Females"
1983,"35 to 44 years",50700,"Both sexes"
1983,"35 to 44 years",68700,"Males"
1983,"35 to 44 years",31700,"Females"
1983,"45 to 54 years",47400,"Both sexes"
1983,"45 to 54 years",66800,"Males"
1983,"45 to 54 years",24700,"Females"
1983,"55 to 64 years",37000,"Both sexes"
1983,"55 to 64 years",57000,"Males"
1983,"55 to 64 years",19000,"Females"
1983,"65 years and over",20300,"Both sexes"
1983,"65 years and over",26400,"Males"
1983,"65 years and over",17600,"Females"
1984,"15 years and over",31800,"Both sexes"
1984,"15 years and over",45500,"Males"
1984,"15 years and over",22400,"Females"
1984,"15 to 24 years",15000,"Both sexes"
1984,"15 to 24 years",16300,"Males"
1984,"15 to 24 years",13700,"Females"
1984,"25 to 54 years",45700,"Both sexes"
1984,"25 to 54 years",61200,"Males"
1984,"25 to 54 years",30500,"Females"
1984,"25 to 34 years",42400,"Both sexes"
1984,"25 to 34 years",54000,"Males"
1984,"25 to 34 years",31300,"Females"
1984,"35 to 44 years",50600,"Both sexes"
1984,"35 to 44 years",68900,"Males"
1984,"35 to 44 years",32200,"Females"
1984,"45 to 54 years",46000,"Both sexes"
1984,"45 to 54 years",63800,"Males"
1984,"45 to 54 years",26700,"Females"
1984,"55 to 64 years",34900,"Both sexes"
1984,"55 to 64 years",52900,"Males"
1984,"55 to 64 years",19200,"Females"
1984,"65 years and over",21300,"Both sexes"
1984,"65 years and over",26800,"Males"
1984,"65 years and over",18700,"Females"
1985,"15 years and over",32600,"Both sexes"
1985,"15 years and over",46600,"Males"
1985,"15 years and over",22800,"Females"
1985,"15 to 24 years",14600,"Both sexes"
1985,"15 to 24 years",16400,"Males"
1985,"15 to 24 years",13200,"Females"
1985,"25 to 54 years",45900,"Both sexes"
