"Year","Value","Products.and.product.groups"
1976,31.1,"All-items"
1976,31.1,"Food"
1976,32.1,"Food purchased from stores"
1976,25.3,"Fresh or frozen beef"
1976,36.5,"Fresh or frozen poultry"
1976,35.7,"Fresh or frozen chicken"
1976,38.3,"Other fresh or frozen poultry"
1976,34.5,"Dairy products and eggs"
1976,33.3,"Dairy products"
1976,36.6,"Fresh milk"
1976,32.4,"Butter"
1976,33.8,"Ice cream and related products"
1976,46.3,"Eggs"
1976,30.4,"Bakery and cereal products (excluding baby food)"
1976,30.8,"Bakery products"
1976,25.8,"Breakfast cereal and other cereal products (excluding baby food)"
1976,24.7,"Flour and flour-based mixes"
1976,25.2,"Fresh fruit"
1976,19.6,"Apples"
1976,21.5,"Oranges"
1976,34.5,"Bananas"
1976,28.5,"Fresh vegetables"
1976,20.7,"Potatoes"
1976,24.1,"Tomatoes"
1976,33.2,"Lettuce"
1976,32.8,"Sugar and confectionery"
1976,38.6,"Margarine"
1976,42.5,"Other edible fats and oils"
1976,42.8,"Coffee and tea"
1976,35.2,"Tea"
1976,46.3,"Non-alcoholic beverages"
1976,30,"Food purchased from restaurants"
1976,39.5,"Rented accommodation"
1976,39.7,"Rent"
1976,28.8,"Tenants' insurance premiums"
1976,35.5,"Tenants' maintenance, repairs and other expenses"
1976,33.9,"Owned accommodation"
1976,38.4,"Mortgage interest cost"
1976,38.1,"Homeowners' replacement cost"
1976,28.2,"Property taxes and other special charges"
1976,24.2,"Homeowners' home and mortgage insurance"
1976,34.7,"Homeowners' maintenance and repairs"
1976,21.1,"Water, fuel and electricity"
1976,25.2,"Electricity"
1976,21.9,"Water"
1976,21.2,"Natural gas"
1976,19.3,"Fuel oil and other fuels"
1976,49.4,"Communications"
1976,60.1,"Telephone services"
1976,13.8,"Postal and other communications services"
1976,30.2,"Housekeeping services"
1976,36.9,"Household cleaning products"
1976,33.1,"Paper, plastic and aluminum foil supplies"
1976,45.6,"Household furnishings and equipment"
1976,44.2,"Furniture"
1976,41.6,"Area rugs and mats"
1976,42.6,"Clothing and footwear"
1976,43.3,"Children's clothing"
1976,41.4,"Footwear"
1976,36.7,"Women's footwear (excluding athletic)"
1976,35.5,"Jewellery"
1976,32.9,"Clothing material, notions and services"
1976,35.8,"Laundry services"
1976,27.7,"Dry cleaning services"
1976,25.7,"Other clothing services"
1976,27.3,"Transportation"
1976,28.9,"Private transportation"
1976,33.1,"Purchase and leasing of passenger vehicles"
1976,33.1,"Purchase of passenger vehicles"
1976,25.4,"Operation of passenger vehicles"
1976,24.9,"Gasoline"
1976,20.3,"Passenger vehicle insurance premiums"
1976,19.5,"Parking fees"
1976,35.9,"All other passenger vehicle operating expenses"
1976,16.6,"Public transportation"
1976,21.9,"Local and commuter transportation"
1976,19.6,"City bus and subway transportation"
1976,31.7,"Taxi and other local and commuter transportation services"
1976,13.6,"Inter-city transportation"
1976,12.9,"Air transportation"
1976,32.5,"Health and personal care"
1976,28.1,"Health care"
1976,25.9,"Dental care services"
1976,36.1,"Personal care"
1976,43,"Personal care supplies and equipment"
1976,45.4,"Personal soap"
1976,72.2,"Oral-hygiene products"
1976,27.8,"Personal care services"
1976,33,"Recreation, education and reading"
1976,39.2,"Recreation"
1976,29,"Other home entertainment equipment, parts and services"
1976,29.5,"Traveller accommodation"
1976,17.9,"Education"
1976,14.5,"Tuition fees"
1976,22.8,"Reading material (excluding textbooks)"
1976,23.7,"Newspapers"
1976,18.8,"Magazines and periodicals"
1976,17.8,"Alcoholic beverages, tobacco products and recreational cannabis"
1976,25.3,"Alcoholic beverages"
1976,22.8,"Beer served in licensed establishments"
1976,25.8,"Liquor served in licensed establishments"
1976,20.7,"Beer purchased from stores"
1976,25.4,"Wine purchased from stores"
1976,34.5,"Liquor purchased from stores"
1976,11.9,"Tobacco products and smokers' supplies"
1976,12,"Cigarettes"
1976,32.2,"All-items excluding eight of the most volatile components as defined by the Bank of Canada"
1976,31.5,"All-items excluding food"
1976,32.9,"All-items excluding food and energy"
1976,32.1,"All-items excluding energy"
1976,28.4,"Food and energy"
1976,23,"Energy"
1976,34.1,"Housing (1986 definition)"
1976,31.1,"Goods and services"
1976,32.6,"Goods"
1976,43.7,"Durable goods"
1976,41.8,"Semi-durable goods"
1976,27.6,"Non-durable goods"
1976,24.5,"Non-durable goods excluding food purchased from stores"
1976,33.5,"Goods excluding food purchased from stores"
1976,36.5,"Goods excluding food purchased from stores and energy"
1976,29.9,"Services"
1976,25.6,"Services excluding shelter services"
1977,33.6,"All-items"
1977,33.7,"Food"
1977,35,"Food purchased from stores"
1977,27,"Fresh or frozen beef"
1977,36.6,"Fresh or frozen poultry"
1977,36,"Fresh or frozen chicken"
1977,38.2,"Other fresh or frozen poultry"
1977,36.8,"Dairy products and eggs"
1977,35.8,"Dairy products"
1977,39,"Fresh milk"
1977,35.4,"Butter"
1977,36.3,"Ice cream and related products"
1977,46.8,"Eggs"
1977,32.4,"Bakery and cereal products (excluding baby food)"
1977,33.1,"Bakery products"
1977,26.3,"Breakfast cereal and other cereal products (excluding baby food)"
1977,26.3,"Flour and flour-based mixes"
1977,32.1,"Fresh fruit"
1977,24.9,"Apples"
1977,27.5,"Oranges"
1977,39.5,"Bananas"
1977,34.9,"Fresh vegetables"
1977,21.2,"Potatoes"
1977,32.3,"Tomatoes"
1977,40,"Lettuce"
1977,37.2,"Sugar and confectionery"
1977,42.2,"Margarine"
1977,45.5,"Other edible fats and oils"
1977,75,"Coffee and tea"
1977,48.1,"Tea"
1977,49.2,"Non-alcoholic beverages"
1977,31.9,"Food purchased from restaurants"
1977,42.1,"Rented accommodation"
1977,42.2,"Rent"
1977,31.9,"Tenants' insurance premiums"
1977,39.1,"Tenants' maintenance, repairs and other expenses"
1977,37.5,"Owned accommodation"
1977,42.7,"Mortgage interest cost"
1977,41.6,"Homeowners' replacement cost"
1977,31.6,"Property taxes and other special charges"
1977,27.7,"Homeowners' home and mortgage insurance"
1977,37.9,"Homeowners' maintenance and repairs"
1977,24.2,"Water, fuel and electricity"
1977,29.5,"Electricity"
1977,24.4,"Water"
1977,24.1,"Natural gas"
1977,22.3,"Fuel oil and other fuels"
1977,53.8,"Communications"
1977,62.9,"Telephone services"
1977,18.4,"Postal and other communications services"
1977,33.3,"Housekeeping services"
1977,39.3,"Household cleaning products"
1977,34.9,"Paper, plastic and aluminum foil supplies"
1977,48,"Household furnishings and equipment"
1977,46.6,"Furniture"
1977,42.4,"Area rugs and mats"
1977,45.5,"Clothing and footwear"
1977,47.1,"Children's clothing"
1977,44.6,"Footwear"
1977,39.7,"Women's footwear (excluding athletic)"
1977,35.5,"Jewellery"
1977,35.2,"Clothing material, notions and services"
1977,38.4,"Laundry services"
1977,29.9,"Dry cleaning services"
1977,28.3,"Other clothing services"
1977,29.2,"Transportation"
1977,30.9,"Private transportation"
1977,35.3,"Purchase and leasing of passenger vehicles"
1977,35.3,"Purchase of passenger vehicles"
1977,27.3,"Operation of passenger vehicles"
1977,27,"Gasoline"
1977,21.5,"Passenger vehicle insurance premiums"
1977,21.4,"Parking fees"
1977,37.9,"All other passenger vehicle operating expenses"
1977,17.7,"Public transportation"
1977,23.2,"Local and commuter transportation"
1977,20.6,"City bus and subway transportation"
1977,34.1,"Taxi and other local and commuter transportation services"
1977,14.5,"Inter-city transportation"
1977,13.9,"Air transportation"
1977,34.9,"Health and personal care"
1977,29.7,"Health care"
1977,27.8,"Dental care services"
1977,39.2,"Personal care"
1977,45.4,"Personal care supplies and equipment"
1977,48.8,"Personal soap"
1977,76.4,"Oral-hygiene products"
1977,30.9,"Personal care services"
1977,34.5,"Recreation, education and reading"
1977,41.2,"Recreation"
1977,31.9,"Other home entertainment equipment, parts and services"
1977,30.9,"Traveller accommodation"
1977,18.7,"Education"
1977,15.1,"Tuition fees"
1977,23.7,"Reading material (excluding textbooks)"
1977,24.1,"Newspapers"
1977,20.9,"Magazines and periodicals"
1977,19.1,"Alcoholic beverages, tobacco products and recreational cannabis"
1977,26.8,"Alcoholic beverages"
1977,24.5,"Beer served in licensed establishments"
1977,27.6,"Liquor served in licensed establishments"
1977,22.2,"Beer purchased from stores"
1977,27.3,"Wine purchased from stores"
1977,35.9,"Liquor purchased from stores"
1977,12.9,"Tobacco products and smokers' supplies"
1977,13,"Cigarettes"
1977,34.8,"All-items excluding eight of the most volatile components as defined by the Bank of Canada"
1977,34,"All-items excluding food"
1977,35.3,"All-items excluding food and energy"
1977,34.5,"All-items excluding energy"
1977,31.1,"Food and energy"
1977,25.8,"Energy"
1977,37.3,"Housing (1986 definition)"
1977,33.6,"Goods and services"
1977,35.1,"Goods"
1977,46,"Durable goods"
1977,44.5,"Semi-durable goods"
1977,29.8,"Non-durable goods"
1977,26.4,"Non-durable goods excluding food purchased from stores"
1977,35.8,"Goods excluding food purchased from stores"
1977,38.7,"Goods excluding food purchased from stores and energy"
1977,32.5,"Services"
1977,28,"Services excluding shelter services"
1978,36.6,"All-items"
1978,38.9,"Food"
1978,41.1,"Food purchased from stores"
1978,39.4,"Fresh or frozen beef"
1978,42,"Fresh or frozen poultry"
1978,41.7,"Fresh or frozen chicken"
1978,42.4,"Other fresh or frozen poultry"
1978,39.2,"Dairy products and eggs"
1978,38.4,"Dairy products"
1978,41.2,"Fresh milk"
1978,38.5,"Butter"
1978,39.9,"Ice cream and related products"
1978,47.5,"Eggs"
1978,35.2,"Bakery and cereal products (excluding baby food)"
1978,36,"Bakery products"
1978,27.8,"Breakfast cereal and other cereal products (excluding baby food)"
1978,28.5,"Flour and flour-based mixes"
1978,42.5,"Fresh fruit"
1978,34.6,"Apples"
1978,39.6,"Oranges"
1978,49.3,"Bananas"
1978,44.3,"Fresh vegetables"
1978,25.6,"Potatoes"
1978,36.8,"Tomatoes"
1978,66.9,"Lettuce"
1978,39.9,"Sugar and confectionery"
1978,48.2,"Margarine"
1978,52,"Other edible fats and oils"
1978,83.1,"Coffee and tea"
1978,60.7,"Tea"
1978,55.4,"Non-alcoholic beverages"
1978,34,"Food purchased from restaurants"
1978,44.3,"Rented accommodation"
1978,44.4,"Rent"
1978,33.1,"Tenants' insurance premiums"
1978,42,"Tenants' maintenance, repairs and other expenses"
1978,40.6,"Owned accommodation"
1978,46.1,"Mortgage interest cost"
1978,44.8,"Homeowners' replacement cost"
1978,34.5,"Property taxes and other special charges"
1978,29.9,"Homeowners' home and mortgage insurance"
1978,40.9,"Homeowners' maintenance and repairs"
1978,27.2,"Water, fuel and electricity"
1978,31.9,"Electricity"
1978,26.4,"Water"
1978,28.6,"Natural gas"
1978,25.5,"Fuel oil and other fuels"
1978,56.9,"Communications"
1978,65.2,"Telephone services"
1978,21.2,"Postal and other communications services"
1978,36.1,"Housekeeping services"
1978,42.7,"Household cleaning products"
1978,36.7,"Paper, plastic and aluminum foil supplies"
1978,50,"Household furnishings and equipment"
1978,47.7,"Furniture"
1978,43.6,"Area rugs and mats"
1978,47.3,"Clothing and footwear"
1978,49.5,"Children's clothing"
1978,46.4,"Footwear"
1978,41.1,"Women's footwear (excluding athletic)"
1978,39.4,"Jewellery"
1978,37.2,"Clothing material, notions and services"
1978,39.7,"Laundry services"
1978,31.8,"Dry cleaning services"
1978,30.9,"Other clothing services"
1978,30.9,"Transportation"
1978,32.7,"Private transportation"
1978,38.4,"Purchase and leasing of passenger vehicles"
1978,38.4,"Purchase of passenger vehicles"
1978,28.4,"Operation of passenger vehicles"
1978,28.6,"Gasoline"
1978,21.2,"Passenger vehicle insurance premiums"
1978,22.9,"Parking fees"
1978,39.5,"All other passenger vehicle operating expenses"
1978,18.5,"Public transportation"
1978,24.4,"Local and commuter transportation"
1978,21.8,"City bus and subway transportation"
1978,35.5,"Taxi and other local and commuter transportation services"
1978,15.2,"Inter-city transportation"
1978,14.5,"Air transportation"
1978,37.4,"Health and personal care"
1978,31.7,"Health care"
1978,30,"Dental care services"
1978,42.1,"Personal care"
1978,48.3,"Personal care supplies and equipment"
1978,55.4,"Personal soap"
1978,80.4,"Oral-hygiene products"
1978,33.4,"Personal care services"
1978,35.9,"Recreation, education and reading"
1978,42.6,"Recreation"
1978,36.7,"Other home entertainment equipment, parts and services"
1978,31.4,"Traveller accommodation"
1978,19.8,"Education"
1978,16.2,"Tuition fees"
1978,24.7,"Reading material (excluding textbooks)"
1978,24.9,"Newspapers"
1978,22.1,"Magazines and periodicals"
1978,20.7,"Alcoholic beverages, tobacco products and recreational cannabis"
1978,28.6,"Alcoholic beverages"
1978,27.1,"Beer served in licensed establishments"
1978,30.2,"Liquor served in licensed establishments"
1978,23.4,"Beer purchased from stores"
1978,29.1,"Wine purchased from stores"
1978,37.3,"Liquor purchased from stores"
1978,14.1,"Tobacco products and smokers' supplies"
1978,14.3,"Cigarettes"
1978,38,"All-items excluding eight of the most volatile components as defined by the Bank of Canada"
1978,36.1,"All-items excluding food"
1978,37.4,"All-items excluding food and energy"
1978,37.6,"All-items excluding energy"
1978,35.4,"Food and energy"
1978,28.2,"Energy"
1978,40.1,"Housing (1986 definition)"
1978,36.6,"Goods and services"
1978,38.6,"Goods"
1978,48.6,"Durable goods"
1978,46.3,"Semi-durable goods"
1978,33.5,"Non-durable goods"
1978,28.3,"Non-durable goods excluding food purchased from stores"
1978,37.9,"Goods excluding food purchased from stores"
1978,40.8,"Goods excluding food purchased from stores and energy"
1978,34.8,"Services"
1978,29.8,"Services excluding shelter services"
1979,40,"All-items"
1979,44,"Food"
1979,46.6,"Food purchased from stores"
1979,48.3,"Meat"
1979,51.3,"Fresh or frozen meat (excluding poultry)"
1979,51.8,"Fresh or frozen beef"
1979,50.2,"Fresh or frozen pork"
1979,47.6,"Fresh or frozen poultry"
1979,46,"Fresh or frozen chicken"
1979,51.7,"Other fresh or frozen poultry"
1979,38.9,"Fish"
1979,53.6,"Canned and other preserved fish"
1979,34.8,"Seafood and other marine products"
1979,42.7,"Dairy products and eggs"
1979,41.9,"Dairy products"
1979,44.4,"Fresh milk"
1979,42.3,"Butter"
1979,43.3,"Ice cream and related products"
1979,51.5,"Eggs"
1979,41.2,"Bakery and cereal products (excluding baby food)"
1979,42,"Bakery products"
1979,48.4,"Rice and rice-based mixes"
1979,30.4,"Breakfast cereal and other cereal products (excluding baby food)"
1979,48.5,"Pasta products"
1979,37.6,"Flour and flour-based mixes"
1979,50.6,"Fruit, fruit preparations and nuts"
1979,48.3,"Fresh fruit"
1979,34,"Apples"
1979,47.7,"Oranges"
1979,58.2,"Bananas"
1979,45.2,"Vegetables and vegetable preparations"
1979,45.3,"Fresh vegetables"
1979,25.8,"Potatoes"
1979,41.7,"Tomatoes"
1979,69.2,"Lettuce"
1979,49.3,"Canned vegetables and other vegetable preparations"
1979,46.9,"Sugar and confectionery"
1979,53.7,"Edible fats and oils"
1979,52,"Margarine"
1979,57.3,"Other edible fats and oils"
1979,81.7,"Coffee and tea"
1979,90.8,"Coffee"
1979,59.9,"Tea"
1979,39.1,"Condiments, spices and vinegars"
1979,43.1,"Other food preparations"
1979,37.4,"Soup"
1979,44.5,"Baby foods"
1979,51.3,"Frozen food preparations"
1979,60,"Non-alcoholic beverages"
1979,38.1,"Food purchased from restaurants"
1979,41,"Shelter"
1979,46.4,"Rented accommodation"
1979,46.4,"Rent"
1979,34.5,"Tenants' insurance premiums"
1979,46.9,"Tenants' maintenance, repairs and other expenses"
1979,43.1,"Owned accommodation"
1979,49,"Mortgage interest cost"
1979,46.7,"Homeowners' replacement cost"
1979,36.2,"Property taxes and other special charges"
1979,31.2,"Homeowners' home and mortgage insurance"
1979,45.5,"Homeowners' maintenance and repairs"
1979,29.8,"Water, fuel and electricity"
1979,34.6,"Electricity"
1979,28.6,"Water"
1979,30.2,"Natural gas"
1979,28.6,"Fuel oil and other fuels"
1979,48.6,"Household operations, furnishings and equipment"
1979,44.8,"Household operations"
1979,59.8,"Communications"
1979,66.9,"Telephone services"
1979,25.5,"Postal and other communications services"
1979,37,"Child care services"
1979,40.5,"Housekeeping services"
1979,46.4,"Household cleaning products"
1979,48.7,"Detergents and soaps (other than personal care)"
1979,40.6,"Paper, plastic and aluminum foil supplies"
1979,41.5,"Other horticultural goods"
1979,50.6,"Other household supplies"
1979,54.1,"Household furnishings and equipment"
1979,51.9,"Furniture and household textiles"
1979,51.7,"Furniture"
1979,58.4,"Upholstered furniture"
1979,45.7,"Wooden furniture"
1979,46.1,"Area rugs and mats"
1979,61.3,"Household equipment"
1979,70.6,"Household appliances"
1979,68,"Refrigerators and freezers"
1979,33.7,"Services related to household furnishings and equipment"
1979,51.6,"Clothing and footwear"
1979,53.6,"Children's clothing"
1979,51.8,"Footwear"
1979,46.2,"Women's footwear (excluding athletic)"
1979,65.8,"Athletic footwear"
1979,53.9,"Jewellery"
1979,40.2,"Clothing material, notions and services"
1979,57,"Clothing material and notions"
1979,41.7,"Laundry services"
1979,34.4,"Dry cleaning services"
1979,36.1,"Other clothing services"
1979,33.9,"Transportation"
1979,35.9,"Private transportation"
1979,43,"Purchase and leasing of passenger vehicles"
1979,43.1,"Purchase of passenger vehicles"
1979,41.2,"Rental of passenger vehicles"
1979,30.6,"Operation of passenger vehicles"
1979,31.4,"Gasoline"
1979,38.6,"Passenger vehicle maintenance and repair services"
1979,21.9,"Passenger vehicle insurance premiums"
1979,25.3,"Parking fees"
1979,41.9,"All other passenger vehicle operating expenses"
1979,20.2,"Public transportation"
1979,27.6,"Local and commuter transportation"
1979,25.1,"City bus and subway transportation"
1979,38.8,"Taxi and other local and commuter transportation services"
1979,16,"Inter-city transportation"
1979,15.2,"Air transportation"
1979,40.8,"Health and personal care"
1979,34.8,"Health care"
1979,30.3,"Medicinal and pharmaceutical products"
1979,44.6,"Other health care goods"
1979,33,"Dental care services"
1979,45.7,"Personal care"
1979,52.2,"Personal care supplies and equipment"
1979,64,"Personal soap"
1979,51.5,"Toiletry items and cosmetics"
1979,83.7,"Oral-hygiene products"
1979,36.5,"Personal care services"
1979,38.3,"Recreation, education and reading"
1979,45.5,"Recreation"
1979,85.3,"Recreational equipment and services (excluding recreational vehicles)"
1979,52.4,"Sporting and exercise equipment"
1979,34.5,"Purchase and operation of recreational vehicles"
1979,35.6,"Purchase of recreational vehicles and outboard motors"
1979,30.6,"Operation of recreational vehicles"
1979,94.7,"Home entertainment equipment, parts and services"
1979,41.1,"Other home entertainment equipment, parts and services"
1979,34,"Traveller accommodation"
1979,26,"Travel tours"
1979,27.3,"Video and audio subscription services"
1979,29.6,"Use of recreational facilities and services"
1979,20.7,"Education"
1979,16.7,"Tuition fees"
1979,36.5,"Other lessons, courses and education services"
1979,27.3,"Reading material (excluding textbooks)"
1979,27.1,"Newspapers"
1979,25.6,"Magazines and periodicals"
1979,22.1,"Alcoholic beverages, tobacco products and recreational cannabis"
1979,30.8,"Alcoholic beverages"
1979,31.1,"Alcoholic beverages served in licensed establishments"
1979,29.9,"Beer served in licensed establishments"
1979,32.9,"Liquor served in licensed establishments"
1979,30.9,"Alcoholic beverages purchased from stores"
1979,25.2,"Beer purchased from stores"
1979,32.1,"Wine purchased from stores"
1979,39.4,"Liquor purchased from stores"
1979,14.9,"Tobacco products and smokers' supplies"
1979,15,"Cigarettes"
1979,41.7,"All-items excluding eight of the most volatile components as defined by the Bank of Canada"
1979,39,"All-items excluding food"
1979,40.3,"All-items excluding food and energy"
1979,41,"All-items excluding energy"
1979,39.8,"Food and energy"
1979,31,"Energy"
1979,42.9,"Housing (1986 definition)"
1979,40.7,"Shelter (1986 definition)"
1979,40,"Goods and services"
1979,42.7,"Goods"
1979,53.4,"Durable goods"
1979,50.3,"Semi-durable goods"
1979,37.2,"Non-durable goods"
1979,30.8,"Non-durable goods excluding food purchased from stores"
1979,41.3,"Goods excluding food purchased from stores"
1979,44.5,"Goods excluding food purchased from stores and energy"
1979,37.2,"Services"
1979,32.2,"Services excluding shelter services"
1980,44,"All-items"
1980,48.7,"Food"
1980,51.8,"Food purchased from stores"
1980,51.3,"Meat"
1980,54.4,"Fresh or frozen meat (excluding poultry)"
1980,56.2,"Fresh or frozen beef"
1980,49,"Fresh or frozen pork"
1980,49.7,"Fresh or frozen poultry"
1980,49.5,"Fresh or frozen chicken"
1980,49.9,"Other fresh or frozen poultry"
1980,44.1,"Fish"
1980,61.1,"Canned and other preserved fish"
1980,39.6,"Seafood and other marine products"
1980,48.6,"Dairy products and eggs"
1980,47.8,"Dairy products"
1980,50.4,"Fresh milk"
1980,48.4,"Butter"
1980,50.2,"Ice cream and related products"
1980,56.9,"Eggs"
1980,47.2,"Bakery and cereal products (excluding baby food)"
1980,47.6,"Bakery products"
1980,56,"Rice and rice-based mixes"
1980,36.1,"Breakfast cereal and other cereal products (excluding baby food)"
1980,57.3,"Pasta products"
1980,44.5,"Flour and flour-based mixes"
1980,54,"Fruit, fruit preparations and nuts"
1980,50.6,"Fresh fruit"
1980,39.2,"Apples"
1980,39.9,"Oranges"
1980,69.1,"Bananas"
1980,49.5,"Vegetables and vegetable preparations"
1980,49.5,"Fresh vegetables"
1980,35,"Potatoes"
1980,42.6,"Tomatoes"
1980,67,"Lettuce"
1980,54.5,"Canned vegetables and other vegetable preparations"
1980,74.1,"Sugar and confectionery"
1980,57.5,"Edible fats and oils"
1980,56,"Margarine"
1980,60.3,"Other edible fats and oils"
1980,88.5,"Coffee and tea"
1980,99.8,"Coffee"
1980,61.5,"Tea"
1980,44.1,"Condiments, spices and vinegars"
1980,50.1,"Other food preparations"
1980,42,"Soup"
1980,50.6,"Baby foods"
1980,59,"Frozen food preparations"
1980,71.1,"Non-alcoholic beverages"
1980,41.6,"Food purchased from restaurants"
1980,44.1,"Shelter"
1980,48.6,"Rented accommodation"
1980,48.6,"Rent"
1980,37.7,"Tenants' insurance premiums"
1980,53.6,"Tenants' maintenance, repairs and other expenses"
1980,46.4,"Owned accommodation"
1980,53.9,"Mortgage interest cost"
1980,50.2,"Homeowners' replacement cost"
1980,37.3,"Property taxes and other special charges"
1980,33.6,"Homeowners' home and mortgage insurance"
1980,49,"Homeowners' maintenance and repairs"
1980,33.6,"Water, fuel and electricity"
1980,37.9,"Electricity"
1980,30.4,"Water"
1980,33.7,"Natural gas"
1980,34.4,"Fuel oil and other fuels"
1980,53,"Household operations, furnishings and equipment"
1980,49.2,"Household operations"
1980,61.4,"Communications"
1980,68.5,"Telephone services"
1980,26.8,"Postal and other communications services"
1980,40.3,"Child care services"
1980,44.4,"Housekeeping services"
1980,53.5,"Household cleaning products"
1980,56.1,"Detergents and soaps (other than personal care)"
1980,46.9,"Paper, plastic and aluminum foil supplies"
1980,46.3,"Other horticultural goods"
1980,58.2,"Other household supplies"
1980,58.5,"Household furnishings and equipment"
