"Year","Value"
1970,31.0339173356366
1971,31.6627053094735
1972,32.7096119202351
1973,36.9277461534364
1974,42.4883990373531
1975,42.5712838970451
1976,44.1166559952741
1977,42.7032291968068
1978,41.351368285386
1979,41.8243835405993
1980,42.6261218787162
1981,43.7005435814247
1982,37.7626934565746
1983,37.3204568717246
1984,35.4376678515543
1985,35.8710585354449
1986,40.2568949443357
1987,45.3334516880116
1988,51.5117947855364
1989,55.7655677412238
1990,51.7044449706938
1991,51.6196824767975
1992,51.5120209697042
1993,51.4806023895073
1994,52.5262421786534
1995,49.583921479832
1996,48.829041820001
1997,49.3446209684087
1998,48.0261726066989
1999,48.7560075047965
2000,49.7768891283419
2001,51.0591768479971
2002,54.0763361007532
2003,57.6134347759266
2004,61.3069405279982
2005,65.0894511395096
2006,71.4704722158508
2007,78.406177278274
2008,81.1365552038255
2009,79.6697663820835
2010,85.6688094384666
2011,88.4361339662226
2012,91.4624428559712
2013,92.8004378611319
2014,95.8672233482234
2015,100
2016,109.078150314345
2017,120.429540329325
2018,122.859453115136
2019,122.656059828035
2020,129.659545046919
2021,144.498907829549
2022,152.343174844994
2023,143.815412164634
2024,144.6846865126
